;pt;standard_pt
2810;cancer of sigmoid colon (excl rectosigmoid);colon cancer
2811;cognitive impairment;cognitive disorder
2812;reactive arthritis;arthritis reactive
2813;back surgery;spinal operation
2814;nephrogenic anemia;nephrogenic anaemia
2815;pseudobulbar affect;affect lability
2816;vaccination;immunisation
2817;miscarriage;abortion spontaneous
2818;pud;peptic ulcer
2819;cramps in legs;muscle spasms
2820;ards;acute respiratory distress syndrome
2821;watering eyes;lacrimation increased
2822;foot infection;localised infection
2823;cva;cerebrovascular accident
2824;chronic ischemic heart disease, unspecified;myocardial ischaemia
2825;thyroidectomy total;thyroidectomy
2826;myelodysplasia;myelodysplastic syndrome
2827;acute upper respiratory tract infection;upper respiratory tract infection
2828;cartilage disorder nos;chondropathy
2829;bruise;contusion
2830;breast adenocarcinoma;breast cancer
2831;atrial fibrillation paroxysmal;atrial fibrillation
2832;psychotic depression;major depression
2833;dependence on opiates;drug dependence
2834;sickness;illness
2835;menstruation abnormal;menstrual disorder
2836;congenital adrenal hyperplasia;adrenogenital syndrome
2837;tremor of hands;tremor
2838;epigastric ache;abdominal pain upper
2839;thyroid storm;thyrotoxic crisis
2840;b precursor type acute leukemia;b precursor type acute leukaemia
2841;viral hepatitis c;hepatitis c
2842;cartilage disorder;chondropathy
2843;desmoid tumor;desmoid tumour
2844;altered mood;mood altered
2845;cardiac transplant;heart transplant
2846;cryptococcal meningitis;meningitis cryptococcal
2847;aplasia bone marrow;bone marrow failure
2848;pleuropneumonia;pneumonia
2849;hematological malignancy;haematological malignancy
2850;vasospastic angina;prinzmetal angina
2851;emesis;vomiting
2852;hemolysis;haemolysis
2853;graves' ophthalmopathy;endocrine ophthalmopathy
2854;flu vaccination;influenza immunisation
2855;chronic renal insufficiency;chronic kidney disease
2856;adenocarcinoma of colon stage iv;adenocarcinoma of colon
2857;asthma aggravated;asthma
2858;degenerative joint disease;osteoarthritis
2859;manic episode;mania
2860;bowel dysfunction;functional gastrointestinal disorder
2861;pulmonary embolus;pulmonary embolism
2862;herniated nucleus pulposus;intervertebral disc protrusion
2863;acute graft rejection;transplant rejection
2864;potassium supplementation;mineral supplementation
2865;hypertensive;hypertension
2866;otitis;ear infection
2867;apoplexy;cerebrovascular accident
2868;cervical disc degeneration;intervertebral disc degeneration
2869;blood sugar abnormal;blood glucose abnormal
2870;dysthymia;persistent depressive disorder
2871;loin pain;back pain
2872;dog bite;animal bite
2873;sexual problem;sexual dysfunction
2874;primary hypertension;essential hypertension
2875;lung disease;lung disorder
2876;dry lips;lip dry
2877;chronic myeloid leukemia without mention of remission;chronic myeloid leukaemia
2878;frequency urinary;pollakiuria
2879;asymptomatic human immunodeficiency virus type i infection;asymptomatic hiv infection
2880;acute myocardial infarction, of other inferior wall;acute myocardial infarction
2881;acquired hypothyroidism;hypothyroidism
2882;renal clear cell carcinoma;clear cell renal cell carcinoma
2883;feeling sad;depressed mood
2884;epigastric pain;abdominal pain upper
2885;bronchitis asthmatic;asthma
2886;tpn;parenteral nutrition
2887;transient ischemic attack;transient ischaemic attack
2888;incontinence of urine;urinary incontinence
2889;tinea corporis;body tinea
2890;fungal meningitis;meningitis fungal
2891;arthritis nos;arthritis
2892;ovarian disorder nos;ovarian disorder
2893;squamous cell carcinoma of oesophagus;oesophageal squamous cell carcinoma
2894;dryness vaginal;vulvovaginal dryness
2895;chronic obstructive lung disease;chronic obstructive pulmonary disease
2896;stomach ache;abdominal pain upper
2897;burning tongue;tongue discomfort
2898;hyperprolactinemia;hyperprolactinaemia
2899;anaphylactoid purpura;henoch-schonlein purpura
2900;hypoxic-ischemic encephalopathy;hypoxic-ischaemic encephalopathy
2901;spinocellular carcinoma;squamous cell carcinoma of skin
2902;melanoma limited to extremity;malignant melanoma
2903;burning leg;burning sensation
2904;acne vulgaris;acne
2905;pelvic mri;magnetic resonance imaging abdominal
2906;schizo-affective type schizophrenia, chronic state;schizoaffective disorder
2907;unspecified enthesopathy;enthesopathy
2908;diabetic macular oedema;diabetic retinal oedema
2909;esophageal disorder;oesophageal disorder
2910;acute myocardial infarction, of inferoposterior wall;acute myocardial infarction
2911;regional enteritis of unspecified site;crohn's disease
2912;pseudogout;chondrocalcinosis pyrophosphate
2913;esophageal carcinoma;oesophageal carcinoma
2914;generalized convulsive epilepsy, with intractable epilepsy;generalised tonic-clonic seizure
2915;west's syndrome;infantile spasms
2916;heparin-induced thrombocytopenia type ii;heparin-induced thrombocytopenia
2917;intra-abdominal abscess;abdominal abscess
2918;cervical spondylosis;spinal osteoarthritis
2919;insect sting allergy;allergy to arthropod sting
2920;intervertebral foraminal encroachment;vertebral foraminal stenosis
2921;auditory hallucinations;hallucination, auditory
2922;vibrio cholerae test positive;vibrio test positive
2923;jaw pain;pain in jaw
2924;autologous peripheral hematopoietic stem cell transplant;autologous haematopoietic stem cell transplant
2925;coagulase negative staphylococcal infection;staphylococcal infection
2926;melasma;chloasma
2927;small lymphocytic lymphoma, consistent with cll (working formulation) refractory;b-cell small lymphocytic lymphoma refractory
2928;irritable;irritability
2929;weakness of limbs;muscular weakness
2930;hyperammonemia;hyperammonaemia
2931;alcoholic polyneuropathy;polyneuropathy alcoholic
2932;candida krusei infection;candida infection
2933;retinal necrosis;necrotising retinitis
2934;enterococcus faecium infection;enterococcal infection
2935;transcatheter arterial embolisation;therapeutic embolisation
2936;atrophic vulvitis;atrophic vulvovaginitis
2937;haemophilic arthritis;haemophilic arthropathy
2938;chemotherapy multiple agents regional;regional chemotherapy
2939;true precocious puberty;precocious puberty
2940;rickets familial hypophosphataemic;hereditary hypophosphataemic rickets
2941;total hypoxanthine-guanine phosphoribosyl transferase deficiency;hypoxanthine-guanine phosphoribosyl transferase deficiency
2942;increased salivation;salivary hypersecretion
2943;inr increased;international normalised ratio increased
2944;seropositive rheumatoid arthritis;rheumatoid arthritis
2945;hemoglobin decreased;haemoglobin decreased
2946;edema of legs;oedema peripheral
2947;rem sleep abnormal;rapid eye movements sleep abnormal
2948;pre-menstrual tension syndrome;premenstrual syndrome
2949;hemorrhage;haemorrhage
2950;hemophilic arthropathy;haemophilic arthropathy
2951;hand and foot syndrome;palmar-plantar erythrodysaesthesia syndrome
2952;paroxysmal supraventricular tachycardia;supraventricular tachycardia
2953;cervical dystonia;torticollis
2954;platelet count low;platelet count decreased
2955;aspergillus flavus infection;aspergillus infection
2956;premenopause;menopause
2957;menstrual flow excessive;heavy menstrual bleeding
2958;magnesium low;blood magnesium decreased
2959;ankle edema;oedema peripheral
2960;peripheral oedema;oedema peripheral
2961;prophylactic antibiotic therapy;antibiotic prophylaxis
2962;lipids nos high;lipids increased
2963;itchy scalp;pruritus
2964;prophylaxis antibiotic pre-surgical;antibiotic prophylaxis
2965;vomited;vomiting
2966;walking difficulty;gait disturbance
2967;arthritis of neck;spondylitis
2968;lumbar disc degeneration;intervertebral disc degeneration
2969;back muscle spasms;muscle spasms
2970;upper back pain;back pain
2971;nervous;nervousness
2972;merkel cell carcinoma;neuroendocrine carcinoma of the skin
2973;bruising;contusion
2974;ischemia cerebral;cerebral ischaemia
2975;stiffness;musculoskeletal stiffness
2976;hepatic function disorder;hepatic function abnormal
2977;parenteral rehydration;fluid replacement
2978;herpes viral infection nos;herpes virus infection
2979;estrogen low;blood oestrogen decreased
2980;edema lower limb;oedema peripheral
2981;total hip replacement;hip arthroplasty
2982;brain edema;brain oedema
2983;multi-vitamin maintenance;vitamin supplementation
2984;refractory hypertension;hypertension
2985;premenopausal symptoms;menopausal symptoms
2986;tingling;paraesthesia
2987;pituitary adenoma;pituitary tumour benign
2988;pneumocystis pneumonia;pneumocystis jirovecii pneumonia
2989;tooth ache;toothache
2990;herpes labialis;oral herpes
2991;increased tsh;blood thyroid stimulating hormone increased
2992;breast nodule;breast mass
2993;glucose intolerance;glucose tolerance impaired
2994;pain in ankle;arthralgia
2995;pneumocystis jiroveci prophylaxis;antifungal prophylaxis
2996;insomnia nos;insomnia
2997;malignant neoplasm of urinary organ, site unspecified;malignant urinary tract neoplasm
2998;unspecified immunity deficiency;immunodeficiency
2999;knee prosthesis insertion;knee arthroplasty
3000;removal of dirt from skin;removal of inert matter from skin or subcutaneous tissue
3001;calcium decreased;blood calcium decreased
3002;mood alteration nos;mood altered
3003;trouble falling asleep;initial insomnia
3004;pseudoexfoliation glaucoma;exfoliation glaucoma
3005;urine drug screen positive;drug screen positive
3006;premature ventricular contractions;ventricular extrasystoles
3007;non st segment elevation acute coronary syndrome;acute coronary syndrome
3008;appetite stimulated;increased appetite
3009;pain in face;facial pain
3010;central nervous system disorder;nervous system disorder
3011;paranoid type schizophrenia, unspecified state;schizophrenia
3012;graft rejection;transplant rejection
3013;rh isoimmunization;rhesus incompatibility
3014;hemophilia b (factor ix);factor ix deficiency
3015;asthmatic attack;asthma
3016;bleeding prophylaxis;haemorrhage prophylaxis
3017;wheeze;wheezing
3018;malignant neoplasm of pancreas;pancreatic carcinoma
3019;dry eye syndrome;dry eye
3020;pruritus generalized;pruritus
3021;abdominal cramps;abdominal pain
3022;candida albicans infection;candida infection
3023;hot flushes;hot flush
3024;swelling nos;swelling
3025;alcoholic hepatitis;hepatitis alcoholic
3026;secondary malignant neoplasm of other specified sites;metastasis
3027;coughing;cough
3028;climacteric disturbance;menopausal symptoms
3029;malignant neoplasm of hypopharynx;hypopharyngeal cancer
3030;exercise induced asthma;asthma exercise induced
3031;menstrual cycle abnormal;menstrual disorder
3032;deep vein thrombosis leg;deep vein thrombosis
3033;dry cough;cough
3034;jitteriness;feeling jittery
3035;coronary atherosclerosis;arteriosclerosis coronary artery
3036;c.difficile diarrhea;clostridium difficile colitis
3037;head cold;nasopharyngitis
3038;uric acid high;blood uric acid increased
3039;cellulitis of face;cellulitis
3040;acute cholecystitis;cholecystitis acute
3041;lacrimation;lacrimation increased
3042;tinea;tinea infection
3043;foot cramps;muscle spasms
3044;cardiovascular disease, unspecified;cardiovascular disorder
3045;white blood cell count low;white blood cell count decreased
3046;tooth decay;dental caries
3047;spinal metastases;metastases to spine
3048;dislocated shoulder;joint dislocation
3049;bulimia;bulimia nervosa
3050;recreational substance use;substance use
3051;red eye;ocular hyperaemia
3052;drug side effect;adverse drug reaction
3053;heart valve disorders;cardiac valve disease
3054;infected scar;skin infection
3055;hepatitis b exposure;exposure to communicable disease
3056;throat swelling;pharyngeal swelling
3057;lung congestion;pulmonary congestion
3058;catatonic schizophrenia;schizophrenia
3059;rheumatoid arthritis flare up;rheumatoid arthritis
3060;upset stomach;abdominal discomfort
3061;osteomyelitis of jaw;osteomyelitis
3062;systemic lupus erythematosis;systemic lupus erythematosus
3063;memory loss;amnesia
3064;retinal vein branch occlusion;retinal vein occlusion
3065;transthoracic echocardiogram;echocardiogram
3066;postnatal depression (excl psychosis);perinatal depression
3067;muscle bleeding;muscle haemorrhage
3068;hemophilia a with anti factor viii;haemophilia a with anti factor viii
3069;triglycerides abnormal nos;blood triglycerides abnormal
3070;surgical procedure;surgery
3071;spinal anesthesia;spinal anaesthesia
3072;pneumonia nos;pneumonia
3073;tremor limb;tremor
3074;spasticity muscle;muscle spasticity
3075;broken blood vessel in eye;eye haemorrhage
3076;adhd, predominantly inattentive type;attention deficit hyperactivity disorder
3077;disorders of urea cycle metabolism;urea cycle disorder
3078;hemodynamic instability;haemodynamic instability
3079;burn;thermal burn
3080;seasonal allergic rhinitis;seasonal allergy
3081;foot injury;limb injury
3082;stomach cramps;abdominal pain upper
3083;stomach virus;gastroenteritis viral
3084;acute pharyngitis;pharyngitis
3085;nasal discharge;rhinorrhoea
3086;thyroid nodule;thyroid mass
3087;sodium low;blood sodium decreased
3088;lasik eye surgery;keratomileusis
3089;gout attack;gout
3090;postoperative nausea;procedural nausea
3091;surgical menopause;artificial menopause
3092;osteoarthritis knees;osteoarthritis
3093;menstrual disorder nos;menstrual disorder
